source,url,date,type,key,title,authors,first_author_institution,year,venue,peer_reviewed,venue_evidence,doi,arxiv_id,oa_pdf_url,cited_by_count,category,interest_status,notes
Sikuan Yan 2025 — Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning,http://arxiv.org/abs/2508.19828v5,2025-08-27,system_paper,memory_r1,Memory-R1: Enhancing Large Language Model Agents to Manage and Utilize Memories via Reinforcement Learning,"Sikuan Yan; Xiufeng Yang; Zuchao Huang; Ercong Nie (+9 more, 13 total)",,2025,ACL 2026,ACL 2026,DBLP: Conference and Workshop Papers @ ACL 2026,,2508.19828,https://arxiv.org/pdf/2508.19828v5,0.0,engineering,author_of_system,"arXiv v5; OpenAlex listed host 'Underline Science Inc.' (talk-video host, not a peer-reviewed venue) — rejected as venue evidence; OpenAlex gave DOI 10.48448/hq9p-kt44 (Underline talk-video registrant, not a paper DOI) - REMOVED, no paper DOI exists"
Zhen Tan 2025 — In Prospect and Retrospect: Reflective Memory Management for Long-term Personalized Dialogue Agents,http://arxiv.org/abs/2503.08026v2,2025-03-11,system_paper,rmm,In Prospect and Retrospect: Reflective Memory Management for Long-term Personalized Dialogue Agents,"Zhen Tan; Jun Yan; I-Hung Hsu; Rujun Han (+11 more, 15 total)",,2025,ACL 2025,ACL 2025,"Crossref: type=proceedings-article, container=""Proceedings of the 63rd Annual Meeting of the Association for Computat"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2025; arXiv comment/journal_ref states: ""ACL 2025""",10.18653/v1/2025.acl-long.413,2503.08026,https://arxiv.org/pdf/2503.08026v2,12.0,engineering,author_of_system,"arXiv v2; comment: Accepted to ACL 2025; DOI resolved on Crossref (title match: ""In Prospect and Retrospect: Reflective Memory Mana..."")"
Jiaqi Liu 2026 — SimpleMem: Efficient Lifelong Memory for LLM Agents,http://arxiv.org/abs/2601.02553v3,2026-01-05,system_paper,simplemem,SimpleMem: Efficient Lifelong Memory for LLM Agents,"Jiaqi Liu; Yaofeng Su; Peng Xia; Siwei Han (+4 more, 8 total)",,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2601.02553,https://arxiv.org/pdf/2601.02553v3,0.0,engineering,author_of_system,arXiv v3
Chuanrui Hu 2026 — EverMemOS: A Self-Organizing Memory Operating System for Structured Long-Horizon Reasoning,http://arxiv.org/abs/2601.02163v2,2026-01-05,system_paper,evermemos,EverMemOS: A Self-Organizing Memory Operating System for Structured Long-Horizon Reasoning,"Chuanrui Hu; Xingze Gao; Zuyi Zhou; Dannong Xu (+7 more, 11 total)",,2026,ACL 2026,ACL 2026,"Crossref: type=proceedings-article, container=""Proceedings of the 64th Annual Meeting of the Association for Computat"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2026",10.18653/v1/2026.acl-long.2125,2601.02163,https://arxiv.org/pdf/2601.02163v2,0.0,engineering,author_of_system,"arXiv v2; comment: 16 pages, 7 figures, 12 tables. Code available at https://github.com/EverMind-AI/EverMemOS; DOI resolved on Crossref (title match: ""EverMemOS: A Self-Organizing Memory Operating Syst..."")"
Adyasha Maharana 2024 — Evaluating Very Long-Term Conversational Memory of LLM Agents,http://arxiv.org/abs/2402.17753v1,2024-02-27,benchmark,locomo,Evaluating Very Long-Term Conversational Memory of LLM Agents,"Adyasha Maharana; Dong-Ho Lee; Sergey Tulyakov; Mohit Bansal (+2 more, 6 total)",,2024,ACL 2024,ACL 2024,"Crossref: type=proceedings-article, container=""Proceedings of the 62nd Annual Meeting of the Association for Computat"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2024",10.18653/v1/2024.acl-long.747,2402.17753,https://arxiv.org/pdf/2402.17753v1,50.0,evaluation,disinterested,"arXiv v1; comment: 19 pages; Project page: https://snap-research.github.io/locomo/; DOI resolved on Crossref (title match: ""Evaluating Very Long-Term Conversational Memory of..."")"
Di Wu 2024 — LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,http://arxiv.org/abs/2410.10813v2,2024-10-14,benchmark,longmemeval,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,"Di Wu; Hongwei Wang; Wenhao Yu; Yuwei Zhang (+2 more, 6 total)",,2024,ICLR 2025,ICLR 2025,"arXiv comment/journal_ref states: ""ICLR 2025""",10.48550/arxiv.2410.10813,2410.10813,https://arxiv.org/pdf/2410.10813v2,3.0,evaluation,disinterested,"arXiv v2; comment: ICLR 2025; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Qingyao Ai 2025 — MemoryBench: A Benchmark for Memory and Continual Learning in LLM Systems,http://arxiv.org/abs/2510.17281v7,2025-10-20,benchmark,memorybench,MemoryBench: A Benchmark for Memory and Continual Learning in LLM Systems,"Qingyao Ai; Yichen Tang; Changyue Wang; Jianming Long (+2 more, 6 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2510.17281,2510.17281,https://arxiv.org/pdf/2510.17281v7,0.0,evaluation,disinterested,"arXiv v7; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Yuyang Hu 2025 — Memory in the Age of AI Agents,http://arxiv.org/abs/2512.13564v2,2025-12-15,survey,survey_memory_age,Memory in the Age of AI Agents,"Yuyang Hu; Shichun Liu; Yanwei Yue; Guibin Zhang (+43 more, 47 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2512.13564,2512.13564,https://arxiv.org/pdf/2512.13564v2,1.0,engineering,disinterested,"arXiv v2; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Zeyu Zhang 2024 — A Survey on the Memory Mechanism of Large Language Model based Agents,http://arxiv.org/abs/2404.13501v1,2024-04-21,survey,survey_mem_mechanism,A Survey on the Memory Mechanism of Large Language Model based Agents,"Zeyu Zhang; Xiaohe Bo; Chen Ma; Rui Li (+5 more, 9 total)",Renmin University of China,2024,ACM Transactions on Information Systems (TOIS) 2025,ACM Transactions on Information Systems (TOIS) 2025,"Crossref: type=journal-article, container=""ACM Transactions on Information Systems"", publisher=""Association for Computing Machinery (ACM)""; DBLP: Journal Articles @ ACM Trans. Inf. Syst. 2025",10.1145/3748302,2404.13501,https://arxiv.org/pdf/2404.13501v1,88.0,engineering,disinterested,"arXiv v1; comment: 39 pages, 5 figures, 4 tables; DOI resolved on Crossref (title match: ""A Survey on the Memory Mechanism of Large Language..."")"
Wei-Chieh Huang 2026 — Rethinking Memory Mechanisms of Foundation Agents in the Second Half: A Survey,http://arxiv.org/abs/2602.06052v3,2026-01-14,survey,survey_rethinking,Rethinking Memory Mechanisms of Foundation Agents in the Second Half: A Survey,"Wei-Chieh Huang; Weizhi Zhang; Yueqing Liang; Yuanchen Bei (+56 more, 60 total)",,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2602.06052,2602.06052,https://arxiv.org/pdf/2602.06052v3,0.0,engineering,disinterested,"arXiv v3; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Jinghao Luo 2026 — From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms,http://arxiv.org/abs/2605.06716v1,2026-05-07,survey,survey_storage_experience,From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms,"Jinghao Luo; Yuchen Tian; Chuxue Cao; Ziyang Luo (+5 more, 9 total)",,2026,ACL 2026 Findings,ACL 2026 Findings,"DBLP: Conference and Workshop Papers @ ACL 2026; arXiv comment/journal_ref states: ""ACL 2026 Findings""",10.20944/preprints202601.0618.v2,2605.06716,https://arxiv.org/pdf/2605.06716v1,0.0,engineering,disinterested,"arXiv v1; comment: Accepted by ACL 2026 Findings; DOI resolved on Crossref (title match: ""From Storage to Experience: A Survey on the Evolut..."")"
"Chang Yang 2026 — Graph-based Agent Memory: Taxonomy, Techniques, and Applications",http://arxiv.org/abs/2602.05665v1,2026-02-05,survey,survey_graph_mem,"Graph-based Agent Memory: Taxonomy, Techniques, and Applications","Chang Yang; Chuang Zhou; Yilin Xiao; Su Dong (+14 more, 18 total)",,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2602.05665,https://arxiv.org/pdf/2602.05665v1,,engineering,disinterested,arXiv v1
Dongming Jiang 2026 — Anatomy of Agentic Memory: Taxonomy and Empirical Analysis of Evaluation and System Limitations,http://arxiv.org/abs/2602.19320v2,2026-02-22,independent_eval,anatomy_agentic_memory,Anatomy of Agentic Memory: Taxonomy and Empirical Analysis of Evaluation and System Limitations,"Dongming Jiang; Yi Li; Songtao Wei; Jinxin Yang (+7 more, 11 total)",,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2602.19320,2602.1932,https://arxiv.org/pdf/2602.19320v2,0.0,evaluation,disinterested,"arXiv v2; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Zidi Xiong 2025 — How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior,http://arxiv.org/abs/2505.16067v2,2025-05-21,independent_eval,empirical_mem_mgmt,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior,"Zidi Xiong; Yuping Lin; Wenya Xie; Pengfei He (+4 more, 8 total)",,2025,ACL 2026,ACL 2026,"Crossref: type=proceedings-article, container=""Proceedings of the 64th Annual Meeting of the Association for Computat"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2026",10.18653/v1/2026.acl-long.27,2505.16067,https://arxiv.org/pdf/2505.16067v2,0.0,evaluation,disinterested,"arXiv v2; DOI resolved on Crossref (title match: ""How Memory Management Impacts LLM Agents: An Empir..."")"
Sizhe Zhou 2025 — A Simple Yet Strong Baseline for Long-Term Conversational Memory of LLM Agents,http://arxiv.org/abs/2511.17208v2,2025-11-21,independent_eval,simple_strong_baseline,A Simple Yet Strong Baseline for Long-Term Conversational Memory of LLM Agents,Sizhe Zhou; Jiawei Han (2 total),,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2511.17208,2511.17208,https://arxiv.org/pdf/2511.17208v2,0.0,evaluation,disinterested,"arXiv v2; comment: Work in progress; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Alessandra Terranova 2025 — Evaluating Long-Term Memory for Long-Context Question Answering,http://arxiv.org/abs/2510.23730v2,2025-10-27,independent_eval,eval_ltm_lcqa,Evaluating Long-Term Memory for Long-Context Question Answering,Alessandra Terranova; Björn Ross; Alexandra Birch (3 total),,2025,EurIPS 2025 workshop (Metacognition in Generative AI),EurIPS 2025 workshop (Metacognition in Generative AI),"arXiv comment/journal_ref states: ""EurIPS 2025 workshop (Metacognition in Generative AI)""",,2510.2373,https://arxiv.org/pdf/2510.23730v2,,evaluation,disinterested,arXiv v2; comment: Accepted as a poster at Metacognition in Generative AI EurIPS workshop
Tianxin Wei 2025 — Evo-Memory: Benchmarking LLM Agent Test-time Learning with Self-Evolving Memory,http://arxiv.org/abs/2511.20857v2,2025-11-25,benchmark,evo_memory,Evo-Memory: Benchmarking LLM Agent Test-time Learning with Self-Evolving Memory,"Tianxin Wei; Noveen Sachdeva; Benjamin Coleman; Zhankui He (+11 more, 15 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2511.20857,2511.20857,https://arxiv.org/pdf/2511.20857v2,0.0,evaluation,disinterested,"arXiv v2; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Md Nayem Uddin 2026 — From Recall to Forgetting: Benchmarking Long-Term Memory for Personalized Agents,http://arxiv.org/abs/2604.20006v1,2026-04-21,benchmark,recall_to_forgetting,From Recall to Forgetting: Benchmarking Long-Term Memory for Personalized Agents,"Md Nayem Uddin; Kumar Shubham; Eduardo Blanco; Chitta Baral (+1 more, 5 total)",,2026,ACL 2026 Findings,ACL 2026 Findings,"Crossref: type=proceedings-article, container=""Findings of the Association for Computational Linguistics: ACL 2026"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2026; arXiv comment/journal_ref states: ""ACL 2026 Findings""",10.18653/v1/2026.findings-acl.1337,2604.20006,https://arxiv.org/pdf/2604.20006v1,0.0,evaluation,disinterested,"arXiv v1; comment: Accepted to ACL 2026 Findings; DOI resolved on Crossref (title match: ""From Recall to Forgetting: Benchmarking Long-Term ..."")"
Zafeirios Fountas 2024 — Human-inspired Episodic Memory for Infinite Context LLMs,http://arxiv.org/abs/2407.09450v3,2024-07-12,system_paper,ehm_infinite_ctx,Human-inspired Episodic Memory for Infinite Context LLMs,"Zafeirios Fountas; Martin A Benfeghoul; Adnan Oomerjee; Fenia Christopoulou (+3 more, 7 total)",,2024,ICLR 2025,ICLR 2025,"arXiv comment/journal_ref states: ""ICLR 2025""",10.48550/arxiv.2407.09450,2407.0945,https://arxiv.org/pdf/2407.09450v3,1.0,engineering,author_of_system,"arXiv v3; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Payel Das 2024 — Larimar: Large Language Models with Episodic Memory Control,http://arxiv.org/abs/2403.11901v4,2024-03-18,system_paper,larimar,Larimar: Large Language Models with Episodic Memory Control,"Payel Das; Subhajit Chaudhury; Elliot Nelson; Igor Melnyk (+9 more, 13 total)",,2024,ICML 2024,ICML 2024,"DBLP: Conference and Workshop Papers @ ICML 2024; arXiv comment/journal_ref states: ""ICML 2024""",10.48550/arxiv.2403.11901,2403.11901,https://arxiv.org/pdf/2403.11901v4,2.0,engineering,author_of_system,"arXiv v4; comment: ICML 2024; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
B. Y. Yan 2025 — General Agentic Memory Via Deep Research,http://arxiv.org/abs/2511.18423v1,2025-11-23,system_paper,gam_deep_research,General Agentic Memory Via Deep Research,"B. Y. Yan; Chaofan Li; Hongjin Qian; Shuqi Lu (+1 more, 5 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2511.18423,https://arxiv.org/pdf/2511.18423v1,0.0,engineering,author_of_system,arXiv v1
Xun Jiang 2024 — Long Term Memory: The Foundation of AI Self-Evolution,http://arxiv.org/abs/2410.15665v4,2024-10-21,other,ltm_self_evolution,Long Term Memory: The Foundation of AI Self-Evolution,"Xun Jiang; Feng Li; Han Zhao; Jiahao Qiu (+11 more, 15 total)",,2024,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2410.15665,2410.15665,https://arxiv.org/pdf/2410.15665v4,5.0,engineering,author_of_system,"arXiv v4; comment: 56 pages, 13 figures; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
"Chris Latimer 2025 — Hindsight is 20/20: Building Agent Memory that Retains, Recalls, and Reflects",http://arxiv.org/abs/2512.12818v1,2025-12-14,system_paper,hindsight_2020,"Hindsight is 20/20: Building Agent Memory that Retains, Recalls, and Reflects","Chris Latimer; Nicoló Boschi; Andrew Neeser; Chris Bartholomew (+3 more, 7 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2512.12818,https://arxiv.org/pdf/2512.12818v1,,engineering,author_of_system,arXiv v1
"Zehao Lin 2026 — A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",http://arxiv.org/abs/2604.16548v2,2026-04-17,survey,survey_mem_security,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle","Zehao Lin; Xixuan Hao; Renyu Fu; Shaobo Cui (+4 more, 8 total)",,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2604.16548,https://arxiv.org/pdf/2604.16548v2,,engineering,disinterested,arXiv v2
"Pengcheng Jiang 2025 — Adaptation of Agentic AI: A Survey of Post-Training, Memory, and Skills",http://arxiv.org/abs/2512.16301v3,2025-12-18,survey,survey_agentic_adaptation,"Adaptation of Agentic AI: A Survey of Post-Training, Memory, and Skills","Pengcheng Jiang; Jiacheng Lin; Zhiyi Shi; Zifeng Wang (+30 more, 34 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2512.16301,https://arxiv.org/pdf/2512.16301v3,,engineering,disinterested,arXiv v3
"Sugam Panthi 2026 — Same Ranking, Different Winner: How Scoring Targets Shape LLM Memory Benchmarks",http://arxiv.org/abs/2605.24060v1,2026-05-22,independent_eval,scoring_targets,"Same Ranking, Different Winner: How Scoring Targets Shape LLM Memory Benchmarks",Sugam Panthi; Rabab Abdelfattah (2 total),,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2605.2406,https://arxiv.org/pdf/2605.24060v1,,evaluation,disinterested,arXiv v1
Abdelghny Orogat 2026 — Is Agent Memory a Database? Rethinking Data Foundations for Long-Term AI Agent Memory,http://arxiv.org/abs/2605.26252v1,2026-05-25,other,mem_as_database,Is Agent Memory a Database? Rethinking Data Foundations for Long-Term AI Agent Memory,Abdelghny Orogat; Essam Mansour (2 total),,2026,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,,2605.26252,https://arxiv.org/pdf/2605.26252v1,,engineering,,arXiv v1
Zhengjun Huang 2025 — LiCoMemory: Lightweight and Cognitive Agentic Memory for Efficient Long-Term Reasoning,http://arxiv.org/abs/2511.01448v2,2025-11-03,system_paper,licomemory,LiCoMemory: Lightweight and Cognitive Agentic Memory for Efficient Long-Term Reasoning,"Zhengjun Huang; Zhoujin Tian; Qintian Guo; Fangyuan Zhang (+4 more, 8 total)",,2025,ACL 2026 Findings,ACL 2026 Findings,"Crossref: type=proceedings-article, container=""Findings of the Association for Computational Linguistics: ACL 2026"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2026",10.18653/v1/2026.findings-acl.1835,2511.01448,https://arxiv.org/pdf/2511.01448v2,0.0,engineering,author_of_system,"arXiv v2; DOI resolved on Crossref (title match: ""LiCoMemory: Lightweight and Cognitive Agentic Memo..."")"
WenTao Liu 2025 — Echo: A Large Language Model with Temporal Episodic Memory,http://arxiv.org/abs/2502.16090v1,2025-02-22,system_paper,echo_temporal,Echo: A Large Language Model with Temporal Episodic Memory,"WenTao Liu; Ruohua Zhang; Aimin Zhou; Feng Gao (+1 more, 5 total)",,2025,arXiv preprint,preprint (unverified venue),no DBLP/Crossref/arXiv venue evidence found,10.48550/arxiv.2502.16090,2502.1609,https://arxiv.org/pdf/2502.16090v1,0.0,engineering,author_of_system,"arXiv v1; DOI is the arXiv DataCite DOI (10.48550/*), not a venue DOI; not resolvable via Crossref"
Yi Yu 2026 — Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,http://arxiv.org/abs/2601.01885v3,2026-01-05,system_paper,agentic_mem_unified,Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,"Yi Yu; Liuyi Yao; Yuexiang Xie; Qingquan Tan (+3 more, 7 total)",,2026,ACL 2026,ACL 2026,"Crossref: type=proceedings-article, container=""Proceedings of the 64th Annual Meeting of the Association for Computat"", publisher=""Association for Computational Linguistics""; DBLP: Conference and Workshop Papers @ ACL 2026; arXiv comment/journal_ref states: ""ACL 2026""",10.18653/v1/2026.acl-long.981,2601.01885,https://arxiv.org/pdf/2601.01885v3,0.0,engineering,author_of_system,"arXiv v3; comment: ACL'26 SAC Highlight. The code is available at https://github.com/y1y5/AgeMem; DOI resolved on Crossref (title match: ""Agentic Memory: Learning Unified Long-Term and Sho..."")"
